hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-26,14,2015-08-13T00:00:00+00:00,train,132,2,26,8,35,238,0,,,,,,73,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-27,14,2015-08-14T00:00:00+00:00,train,113,3,27,8,35,239,0,,,,,,75,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-28,14,2015-08-15T00:00:00+00:00,train,82,4,28,8,35,240,0,,,,,,43,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-29,14,2015-08-16T00:00:00+00:00,train,81,5,29,8,35,241,1,,,,,,54,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-30,14,2015-08-17T00:00:00+00:00,train,63,6,30,8,35,242,1,,,,,,47,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-31,14,2015-08-18T00:00:00+00:00,train,99,0,31,8,36,243,0,,,,,,66,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-01,14,2015-08-19T00:00:00+00:00,train,97,1,1,9,36,244,0,,,,,,50,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-02,14,2015-08-20T00:00:00+00:00,train,127,2,2,9,36,245,0,,,,,,72,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-03,14,2015-08-21T00:00:00+00:00,train,130,3,3,9,36,246,0,,,,,,70,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-04,14,2015-08-22T00:00:00+00:00,train,207,4,4,9,36,247,0,,,,,,161,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-05,14,2015-08-23T00:00:00+00:00,train,199,5,5,9,36,248,1,,,,,,164,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-06,14,2015-08-24T00:00:00+00:00,train,217,6,6,9,36,249,1,,,,,,210,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-07,14,2015-08-25T00:00:00+00:00,train,181,0,7,9,37,250,0,,,,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-07,14,2015-08-25T00:00:00+00:00,train,212,0,7,9,37,250,0,,,,,,168,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-08,14,2015-08-26T00:00:00+00:00,train,183,1,8,9,37,251,0,,,,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-08,14,2015-08-26T00:00:00+00:00,train,165,1,8,9,37,251,0,,,,,,93,
