hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-26,28,2015-07-30T00:00:00+00:00,train,132,2,26,8,35,238,0,,,,,73,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-27,28,2015-07-31T00:00:00+00:00,train,113,3,27,8,35,239,0,,,,,70,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-28,28,2015-08-01T00:00:00+00:00,train,82,4,28,8,35,240,0,,,,,36,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-29,28,2015-08-02T00:00:00+00:00,train,81,5,29,8,35,241,1,,,,,29,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-30,28,2015-08-03T00:00:00+00:00,train,63,6,30,8,35,242,1,,,,,28,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-31,28,2015-08-04T00:00:00+00:00,train,99,0,31,8,36,243,0,,,,,44,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-01,28,2015-08-05T00:00:00+00:00,train,97,1,1,9,36,244,0,,,,,23,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-02,28,2015-08-06T00:00:00+00:00,train,127,2,2,9,36,245,0,,,,,38,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-03,28,2015-08-07T00:00:00+00:00,train,130,3,3,9,36,246,0,,,,,28,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-04,28,2015-08-08T00:00:00+00:00,train,207,4,4,9,36,247,0,,,,,116,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-05,28,2015-08-09T00:00:00+00:00,train,199,5,5,9,36,248,1,,,,,113,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-06,28,2015-08-10T00:00:00+00:00,train,217,6,6,9,36,249,1,,,,,158,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-07,28,2015-08-11T00:00:00+00:00,train,181,0,7,9,37,250,0,,,,,178,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-07,28,2015-08-11T00:00:00+00:00,train,212,0,7,9,37,250,0,,,,,130,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-08,28,2015-08-12T00:00:00+00:00,train,183,1,8,9,37,251,0,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-08,28,2015-08-12T00:00:00+00:00,train,165,1,8,9,37,251,0,,,,,60,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-09,28,2015-08-13T00:00:00+00:00,train,179,2,9,9,37,252,0,,,,,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-09,28,2015-08-13T00:00:00+00:00,train,199,2,9,9,37,252,0,,,,,98,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-10,28,2015-08-14T00:00:00+00:00,train,183,3,10,9,37,253,0,,,,,182,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-10,28,2015-08-14T00:00:00+00:00,train,187,3,10,9,37,253,0,,,,,118,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-11,28,2015-08-15T00:00:00+00:00,train,182,4,11,9,37,254,0,,,,,166,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-11,28,2015-08-15T00:00:00+00:00,train,187,4,11,9,37,254,0,,,,,158,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-12,28,2015-08-16T00:00:00+00:00,train,185,5,12,9,37,255,1,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-12,28,2015-08-16T00:00:00+00:00,train,194,5,12,9,37,255,1,,,,,171,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-13,28,2015-08-17T00:00:00+00:00,train,174,6,13,9,37,256,1,,,,,164,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-13,28,2015-08-17T00:00:00+00:00,train,129,6,13,9,37,256,1,,,,,99,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-14,28,2015-08-18T00:00:00+00:00,train,184,0,14,9,38,257,0,,,,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-14,28,2015-08-18T00:00:00+00:00,train,171,0,14,9,38,257,0,,,,,124,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-15,28,2015-08-19T00:00:00+00:00,train,184,1,15,9,38,258,0,,,,,175,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-15,28,2015-08-19T00:00:00+00:00,train,195,1,15,9,38,258,0,,,,,108,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-16,28,2015-08-20T00:00:00+00:00,train,174,2,16,9,38,259,0,,,,,143,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-16,28,2015-08-20T00:00:00+00:00,train,210,2,16,9,38,259,0,,,,,123,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-17,28,2015-08-21T00:00:00+00:00,train,184,3,17,9,38,260,0,,,,,169,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-17,28,2015-08-21T00:00:00+00:00,train,216,3,17,9,38,260,0,,,,,127,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-18,28,2015-08-22T00:00:00+00:00,train,181,4,18,9,38,261,0,,,,,174,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-18,28,2015-08-22T00:00:00+00:00,train,220,4,18,9,38,261,0,,,,,178,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-19,28,2015-08-23T00:00:00+00:00,train,183,5,19,9,38,262,1,,,,,181,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-19,28,2015-08-23T00:00:00+00:00,train,218,5,19,9,38,262,1,,,,,171,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-20,28,2015-08-24T00:00:00+00:00,train,179,6,20,9,38,263,1,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-20,28,2015-08-24T00:00:00+00:00,train,174,6,20,9,38,263,1,,,,,92,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-21,28,2015-08-25T00:00:00+00:00,train,183,0,21,9,39,264,0,,,,,185,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-21,28,2015-08-25T00:00:00+00:00,train,211,0,21,9,39,264,0,,,,,115,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-22,28,2015-08-26T00:00:00+00:00,train,183,1,22,9,39,265,0,,,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-22,28,2015-08-26T00:00:00+00:00,train,219,1,22,9,39,265,0,,,,,103,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-23,28,2015-08-27T00:00:00+00:00,train,180,2,23,9,39,266,0,,,,,172,
