hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_7,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-26,7,2015-08-20T00:00:00+00:00,train,132,2,26,8,35,238,0,,,,,,,100,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-27,7,2015-08-21T00:00:00+00:00,train,113,3,27,8,35,239,0,,,,,,,95,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-28,7,2015-08-22T00:00:00+00:00,train,82,4,28,8,35,240,0,,,,,,,71,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-29,7,2015-08-23T00:00:00+00:00,train,81,5,29,8,35,241,1,,,,,,,63,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-30,7,2015-08-24T00:00:00+00:00,train,63,6,30,8,35,242,1,,,,,,,49,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-31,7,2015-08-25T00:00:00+00:00,train,99,0,31,8,36,243,0,,,,,,,77,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-01,7,2015-08-26T00:00:00+00:00,train,97,1,1,9,36,244,0,,,,,,,69,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-02,7,2015-08-27T00:00:00+00:00,train,127,2,2,9,36,245,0,132,,,,,,100,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-03,7,2015-08-28T00:00:00+00:00,train,130,3,3,9,36,246,0,113,,,,,,100,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-04,7,2015-08-29T00:00:00+00:00,train,207,4,4,9,36,247,0,82,,,,,,184,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-05,7,2015-08-30T00:00:00+00:00,train,199,5,5,9,36,248,1,81,,,,,,190,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-06,7,2015-08-31T00:00:00+00:00,train,217,6,6,9,36,249,1,63,,,,,,216,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-07,7,2015-09-01T00:00:00+00:00,train,181,0,7,9,37,250,0,,,,,,,179,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-07,7,2015-09-01T00:00:00+00:00,train,212,0,7,9,37,250,0,99,,,,,,186,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-08,7,2015-09-02T00:00:00+00:00,train,183,1,8,9,37,251,0,,,,,,,180,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-08,7,2015-09-02T00:00:00+00:00,train,165,1,8,9,37,251,0,97,,,95.28571428571429,,,104,
