hotel_key,hotel_public_id,target_date,horizon_days,prediction_cutoff,partition,target_room_nights,day_of_week,day_of_month,month,week_of_year,day_of_year,is_weekend,demand_lag_1,demand_lag_7,demand_lag_14,demand_lag_28,demand_rolling_mean_7,demand_rolling_mean_14,demand_rolling_mean_28,on_books_room_nights_at_cutoff,rooms_existing_at_cutoff
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-26,1,2015-08-26T00:00:00+00:00,train,132,2,26,8,35,238,0,,,,,,,,127,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-27,1,2015-08-27T00:00:00+00:00,train,113,3,27,8,35,239,0,132,,,,,,,109,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-28,1,2015-08-28T00:00:00+00:00,train,82,4,28,8,35,240,0,113,,,,,,,76,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-29,1,2015-08-29T00:00:00+00:00,train,81,5,29,8,35,241,1,82,,,,,,,77,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-30,1,2015-08-30T00:00:00+00:00,train,63,6,30,8,35,242,1,81,,,,,,,63,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-08-31,1,2015-08-31T00:00:00+00:00,train,99,0,31,8,36,243,0,63,,,,,,,90,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-01,1,2015-09-01T00:00:00+00:00,train,97,1,1,9,36,244,0,99,,,,,,,94,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-02,1,2015-09-02T00:00:00+00:00,train,127,2,2,9,36,245,0,97,132,,,95.28571428571429,,,126,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-03,1,2015-09-03T00:00:00+00:00,train,130,3,3,9,36,246,0,127,113,,,94.57142857142857,,,126,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-04,1,2015-09-04T00:00:00+00:00,train,207,4,4,9,36,247,0,130,82,,,97.0,,,204,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-05,1,2015-09-05T00:00:00+00:00,train,199,5,5,9,36,248,1,207,81,,,114.85714285714286,,,193,
city_hotel,c7fb00b8-6205-5d73-95ad-5f774926f2cc,2015-09-06,1,2015-09-06T00:00:00+00:00,train,217,6,6,9,36,249,1,199,63,,,131.71428571428572,,,217,
resort_hotel,c31c4e41-2181-5ea7-875e-e62ec156c77b,2015-09-07,1,2015-09-07T00:00:00+00:00,train,181,0,7,9,37,250,0,,,,,,,,180,
